,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
105,4958,DOGE,1.0313999995522123,-0.0171283572,419.0601689001218,0.0,419.0601689001218,1.0,-28377.0,0.003018,239146.0,0.0029816536631937056,close_trailing_long
106,4960,DOGE,1.5743818967918566,-0.017278100400000003,420.6172726965137,0.0,420.6172726965137,1.0,-28446.0,0.003037,210700.0,0.0029816536631937056,close_trailing_long
107,4962,DOGE,1.1519686084933165,-0.017256828800000002,421.751984476207,0.0,421.751984476207,1.0,-28552.0,0.003022,182148.0,0.0029816536631937056,close_trailing_long
108,4964,DOGE,1.498623276427397,-0.0173720772,423.2332356754344,0.0,423.2332356754344,1.0,-28629.0,0.003034,153519.0,0.0029816536631937056,close_trailing_long
109,4966,DOGE,2.107166910108032,-0.017553419,425.3228491665424,0.0,425.3228491665424,1.0,-28729.0,0.003055,124790.0,0.0029816536631937056,close_trailing_long
110,4968,DOGE,1.626775089934523,-0.0175420196,426.93208223687697,0.0,426.93208223687697,1.0,-28871.0,0.003038,95919.0,0.0029816536631937056,close_trailing_long
111,4970,DOGE,1.1982168406464144,-0.017521308,428.1127777695234,0.0,428.1127777695234,1.0,-28980.0,0.003023,66939.0,0.0029816536631937056,close_trailing_long
112,4972,DOGE,1.1434438939277165,-0.017558656199999998,429.23866300725115,0.0,429.23866300725115,1.0,-29061.0,0.003021,37878.0,0.0029816536631937056,close_trailing_long
113,4974,DOGE,0.9716122155249969,-0.017569611000000002,430.19270561177615,0.0,430.19270561177615,1.0,-29137.0,0.003015,8741.0,0.0029816536631937056,close_trailing_long
114,4976,DOGE,0.24639033673995617,-0.0031525832,430.4359433653161,0.0,430.4359433653161,1.0,-5204.0,0.003029,3537.0,0.0029816536631937056,close_trailing_long
115,4978,DOGE,0.241740993283864,-0.00215757,430.6755267886,0.0,430.6755267886,1.0,-3537.0,0.00305,0.0,0.0029816536631937056,close_grid_long
116,4979,DOGE,0.0,-0.0020686456000000002,430.673458143,0.0,430.673458143,1.0,3389.0,0.003052,3389.0,0.003052,entry_initial_normal_long
117,5003,DOGE,0.2643419999999998,-0.002121514,430.935678629,0.0,430.935678629,1.0,-3389.0,0.00313,0.0,0.003052,close_grid_long
118,5004,DOGE,0.0,-0.0020694486000000004,430.93360918039997,0.0,430.93360918039997,1.0,3309.0,0.003127,3309.0,0.003127,entry_initial_normal_long
119,5471,DOGE,0.0,-0.0037161200000000003,430.9298930604,0.0,430.9298930604,1.0,6092.0,0.00305,9401.0,0.0030771027550260616,entry_grid_normal_long
120,5585,DOGE,0.07697075800446357,-0.003688224,431.00317559440447,0.0,431.00317559440447,1.0,-5968.0,0.00309,3433.0,0.0030771027550260616,close_trailing_long
121,5607,DOGE,0.2502562419955306,-0.00216279,431.2512690464,0.0,431.2512690464,1.0,-3433.0,0.00315,0.0,0.0030771027550260616,close_grid_long
122,5626,DOGE,0.0,-0.002071144,431.2491979024,0.0,431.2491979024,1.0,3298.0,0.00314,3298.0,0.00314,entry_initial_normal_long
123,5915,DOGE,0.2638400000000007,-0.002123912,431.5109139904,0.0,431.5109139904,1.0,-3298.0,0.00322,0.0,0.00314,close_grid_long
124,5928,DOGE,0.0,-0.002072328,431.5088416624,0.0,431.5088416624,1.0,3279.0,0.00316,3279.0,0.00316,entry_initial_normal_long
125,6271,DOGE,0.2623199999999993,-0.0021247920000000003,431.76903687040004,0.0,431.76903687040004,1.0,-3279.0,0.00324,0.0,0.00316,close_grid_long
126,6479,DOGE,0.0,-0.0020737200000000003,431.76696315040004,0.0,431.76696315040004,1.0,3142.0,0.0033,3142.0,0.0033,entry_initial_normal_long
127,6696,DOGE,0.0,-0.0037248960000000005,431.76323825440005,0.0,431.76323825440005,1.0,5784.0,0.00322,8926.0,0.0032481604302038985,entry_grid_normal_long
